RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,77.0,28.01154060348216,12.0,41.37929638426557,4.118043874457359,0.0,0.0,100.0,-7.0,7.0,8.0,5.25682734988958,0.0,55.72062872940132,3.0,1.0,1.0,14.0,78.1185518805027,1.0,1.0,0.0,79.68699779730993
0,83.0,305.24783151785005,19.735319419523083,97.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.0,0.0,14.0,12.0,0.0,0.0,17.00811314464187,-8.0,5.0,1.0,0.0,55.02286177196614
0,86.0,373.53223273782913,9.0,82.02507382482071,20.94629624203209,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,1.0,13.0,3.0,1.0,1.0,4.0,-8.0,2.0,1.0,0.0,18.258976163231285
0,84.0,187.60685843684485,5.0,94.41325468347345,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.37631480871622,1.0,16.0,2.0,2.0,2.0,1.0,-8.0,2.0,1.0,0.0,50.0
0,90.82946037296136,-8.0,21.401639793988757,107.16622447833961,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,1.37551995412854,0.0,54.459419252002654,0.0,1.0,1.0,0.0,-8.0,1.0,1.0,0.0,33.0
0,72.0,209.5026298529992,2.0,78.35040533046156,38.098278292089,1.0,1.0,92.0,29.24840942203024,6.0,5.0,47.43776249676902,5.0,26.0,0.0,5.0,6.0,35.37013896601786,69.0,5.0,3.0,2.0,52.01378884477411
0,73.53230215571813,211.35438133717233,2.0,73.0,47.78880920963177,1.0,1.0,93.0,20.20709349965812,6.0,5.0,50.7481238590481,5.0,14.350161828324312,0.0,3.0,3.0,13.810539760164216,38.67365971505376,4.0,3.0,1.0,35.794724051070716
0,68.0,273.7291112237423,1.0,74.0,22.0,0.0,0.0,89.0,2.3186423610519684,4.0,6.0,28.0,4.0,38.0,2.0,4.0,3.0,21.27878887522206,-8.0,4.0,2.0,0.0,57.82778736844174
0,66.66378623881445,165.04253722642753,31.997725341383916,100.11906771106804,9.0,5.0,5.0,72.99183467486615,38.634772370142755,6.0,2.0,14.0,0.0,14.0,2.0,1.0,1.0,37.394409291471845,-8.0,1.0,1.0,0.0,43.0
0,85.0,213.8592035294527,2.0,86.18839761278844,24.0,0.0,0.0,96.0,-8.0,6.0,6.0,25.129374757935874,3.0,41.0,2.0,1.0,1.0,1.0,-8.0,2.0,1.0,0.0,38.0
0,82.0,123.15285338315064,3.0,54.34067533961035,14.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,2.0,20.0,-7.0,0.0,0.0,19.77719972235044,55.3442108362671,5.0,3.0,0.0,74.17577904401321
0,89.0,188.42501409840887,20.48843320887986,83.31046397846563,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,0.0,61.80256903195201,3.0,1.0,1.0,0.0,59.930158567181294,1.0,3.0,0.0,46.212493475000095
0,86.35613855641373,172.1075366001734,6.8671630852549645,80.95130479264668,26.0,0.0,0.0,100.0,-7.0,6.0,8.0,27.257917239548973,1.0,46.427192437943965,0.0,0.0,0.0,3.3267512339786887,70.4583017344983,3.0,3.0,0.0,63.51893599139087
0,87.0,347.94829141386134,2.0,105.68737049255205,25.347478014360505,0.0,0.0,100.0,-7.0,7.0,8.0,27.0,2.0,35.58714594415412,0.0,1.0,1.0,4.6964776970893665,84.53728338278928,3.0,4.0,0.0,65.65576350307957
0,84.0,186.18905418066302,2.0,78.0,19.97325114236925,0.0,0.0,95.0,39.57318671527392,6.0,6.0,21.0,2.0,17.0,15.0,0.0,0.0,2.7220521497369066,-8.0,4.0,1.0,0.0,33.0
0,71.80133929758456,152.19205657407565,4.0,57.90310920684186,14.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,2.0,28.0,0.0,2.0,2.0,54.24153195657706,96.22192077975602,5.0,2.0,1.0,87.16586543624112
