Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,cond
67538.0,-0.9433011,0.11825973,1.120323,-2.1917017,2.0287595,3.9004238,-0.21212323,0.83144623,0.5754066,-0.6799676,-0.53501576,-0.17253855,-0.18527238,-0.73047537,-0.036533378,0.54251075,-0.9081554,0.10918516,0.12898177,0.07102793,-0.15383215,-0.38999093,-0.3087521,1.070118,0.2348863,0.8690676,-0.43670204,-0.15967669,25.0,0
167642.0,-1.275055,1.8246369,-1.558747,-1.4106869,1.1542252,-1.353804,1.929609,-0.5630948,0.4719184,1.0295335,-1.2256963,0.1439345,0.7741666,0.0683857,-0.119762,-0.6200712,-0.79698586,-0.3611268,0.014518674,0.45053804,0.01135318,0.83687437,-0.25314903,-0.5890601,0.005917502,0.08093909,0.2348308,0.07569047,38.52,0
84218.0,1.4145814,-0.9421793,-0.6076141,-1.8018306,1.0149486,3.534024,-1.5892276,0.9279392,-0.544254,0.66233134,-0.0767938,-0.76069057,0.35712767,-0.323516,1.2932714,1.8020772,-0.44852483,-0.41818345,0.59216166,0.23659697,0.33406174,0.75537384,-0.14605485,1.0496365,0.58669376,-0.03520423,0.03895658,0.02067609,19.95,0
50212.0,-1.0781189,0.6658076,1.6423446,-1.7831656,-0.7928112,-1.054451,-0.045461528,0.35714033,-1.550885,-0.22066537,-0.47476056,-0.48763582,0.493589,-0.106240444,0.13007744,1.4688736,0.15766966,-1.5073736,0.083537705,0.16441196,-0.040332027,-0.3606427,-0.10739708,0.36814144,0.3454325,-0.54655457,0.14785668,0.05036025,12.57,0
54762.0,0.50865716,2.027121,-2.3389037,1.5921568,1.0010166,-1.6158806,0.6730127,0.10316073,-0.67375284,-1.4484805,0.34274852,0.025284734,1.2307025,-3.4932508,0.94073313,1.0449631,2.7398412,1.55807,-0.23749068,0.08025028,-0.12425971,-0.1644789,0.057374347,-0.42729446,-0.32736462,-0.37190145,0.1401097,-0.049494777,0.89,0
142889.0,0.08370201,-0.35128647,0.91607803,-2.117053,-0.4528553,0.037788026,-0.29431576,-0.12422935,-2.2492623,0.97860473,-1.906541,-1.1991719,1.3391402,-0.7244604,0.15031043,-0.70809764,0.4198717,0.49906603,1.2690972,-0.091922395,-0.14834595,0.09792161,-0.28483698,-0.98837495,-0.060943037,0.072490074,0.16440907,0.12870832,19.6,0
67856.0,1.36838,-1.2976027,0.055284552,-1.3537518,0.55899686,4.381436,-2.1349297,1.2188886,0.574215,0.3211836,-0.92916965,-0.25161573,0.00078428537,-1.2591072,-1.1881924,0.88372684,0.39051813,-0.92321724,1.3616574,0.15346202,0.08572008,0.46270192,-0.1261062,1.0746387,0.6409702,-0.030289028,0.08897153,0.020343628,3.0,0
45901.0,0.99314487,-0.45402852,0.6797746,0.72595453,-0.47939792,0.68808466,-0.42094958,0.25144264,0.6288588,-0.2514421,0.764311,1.6308432,0.537148,-0.39864272,-1.3838263,-0.5037894,0.12978162,-0.5534942,0.38748226,0.062371302,-0.033920333,0.1009901,-0.16031861,-0.20256716,0.4492717,0.5497717,-0.0024753092,0.0109778745,82.28,0
50315.0,0.7525564,-0.5290857,-0.5143807,0.58325535,0.86429286,2.4355557,-0.43473724,0.6779406,0.43176895,-1.0097649,1.3375776,1.4668691,0.9667105,-1.824701,-0.06668784,-0.66562235,1.7950066,-0.982568,-0.8828159,0.2223832,0.097702906,0.4232394,-0.32979727,-2.1814563,0.3838852,0.7934789,0.051029194,0.03686646,162.91,0
62727.0,-3.3408883,-2.7108047,1.639073,0.95127153,3.682615,-3.344703,-1.0719484,0.1637256,-0.4607937,-0.4668232,-0.74932057,-0.40696064,-1.2523476,0.8002611,0.42496032,0.06745608,-0.41809735,-0.30949476,-0.55916184,0.84544134,0.011769983,-1.3152492,0.6229132,0.27141082,0.61712664,-0.7736076,-0.13962786,0.13666143,54.55,0
